National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Code,Country Code,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1013931526,MANSKY,MD,M,I,GREEN BAY,543135751,WI,US,Medical Oncology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,218,105,218,47.57,0.06,156.82,2.76,35.27
1720088834,GROSS,MD,M,I,TUSCALOOSA,354012086,AL,US,General Surgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,78,76,78,96.3,0,116,0,74.96
1447253760,QURESHI,MD PC,M,I,MONROE,481613798,MI,US,Internal Medicine,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,727,110,727,98.2,0,150.83,12.82,78.33
1568451128,BINGHAM,MD,M,I,OLIVER SPRINGS,378405008,TN,US,Family Practice,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,190,189,190,13.91,0.19,17,0,13.91
1700096435,NELSON,MD,M,I,OKLAHOMA CITY,731342503,OK,US,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,82,82,82,28.13,0.06,177.4,43.3,22.23
1235140997,ACOSTA,MD,M,I,EL PASO,799024000,TX,US,Neurology,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,100,100,100,190.46,0,330,0,138.05
1952338113,COLLINS,MD,M,I,HOUSTON,770302717,TX,US,Orthopedic Surgery,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,98,98,98,159.26,10.55,431.31,0.46,115.78
1861401804,RAMAKRISHNA,MD,M,I,PITTSBURGH,15215,PA,US,General Surgery,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,53,26,53,37.41,0,103,0,29.93
1609862507,BARBATO,MD,M,I,CHICAGO,606313745,IL,US,Family Practice,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,439,76,439,75.14,0,129,0,59.48
1609823368,KATSETOS,MD,M,I,NEW BRITAIN,60512662,CT,US,Cardiology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,264,132,264,73.72,0,111.36,10.99,58.57
1609936194,STOUGHTON,MD,M,I,TUCSON,857413118,AZ,US,Family Practice,Y,O,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",N,777,556,777,9.09,0,24,0,9.09
1427065713,JOHNSON,MD,M,I,GERING,693413227,NE,US,Family Practice,Y,O,83036,Hemoglobin A1C level,N,158,56,158,13.75,0,36,0,13.75
1811999428,LOEWE,MD,M,I,BATON ROUGE,708084375,LA,US,Emergency Medicine,Y,F,99283,"Emergency department visit, moderately severe problem",N,43,42,43,57.99,0,318,0,41.24
1962613059,SINEATH,FNP-C,F,I,PENDLETON,978014421,OR,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,39,28,39,85.84,0,266.67,41.1,61.84
1376762625,"HOOK-SUPERX, L.L.C.",O,O,O,PLAINFIELD,461689404,IN,US,Mass Immunization Roster Biller,Y,O,90656,"Vaccine for influenza injection into muscle, patient 3 years and older",Y,13,13,13,12.4,0.01,12.4,0.01,12.4
1215179346,THORNTON,MD,M,I,SAINT JOSEPH,645066201,MO,US,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,16,15,16,66.28,0,126,0,53.02
1023122157,VAN JURA,MD,F,I,MIAMISBURG,453427615,OH,US,Family Practice,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,39,13,31,22.7,0,42,14.62,17.69
1164676342,PADILLA,MD,F,I,TOMS RIVER,87538175,NJ,US,Family Practice,Y,O,80061,"Blood test, lipids (cholesterol and triglycerides)",N,40,40,40,14.42,1.44,23.22,0,14.42
1275517096,WORMAN,MD,M,I,NORTH EASTON,2356,MA,US,Orthopedic Surgery,Y,O,20610,Aspiration or injection of large joint or joint capsule,N,376,241,364,80.25,18.13,191.89,67.38,61.06
1124097498,HERMAN,MD,M,I,OKLAHOMA CITY,731045417,OK,US,Radiation Oncology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,23,20,23,47,0,132,0,37.27
1578599684,HEBL,MD,M,I,APPLETON,54913,WI,US,Diagnostic Radiology,Y,O,72170,"X-ray of pelvis, 1 or 2 views",N,20,20,20,8.63,0,81,0,6.56
1528247335,BENJAMIN,P.A.,F,I,MOORESVILLE,281176540,NC,US,Physician Assistant,Y,O,99211,"Established patient office or other outpatient visit, typically 5 minutes",N,43,27,43,15.71,0,38,0,12.57
1386612489,SABBAGHIAN,MD,M,I,CROWLEY,705268210,LA,US,General Surgery,Y,F,99221,"Initial hospital inpatient care, typically 30 minutes per day",N,159,152,159,93.49,0,204.62,4.74,73.79
1801836945,SCOTT,MD,M,I,HOLLAND,494242023,MI,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,191,189,191,22.7,1.35,30,0,22.7
1578506960,LONGAR,MD,F,I,DALY CITY,940152221,CA,US,Ophthalmology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,430,349,430,83.25,0,92,0,57.59
1659649127,CALISE,CRNA,F,I,WILLINGBORO,80461110,NJ,US,CRNA,Y,F,810,Anesthesia for procedure on small bowel using an endoscope,N,23,23,23,81.1,10.06,522.89,73.64,64.88
1841252053,BISHAY,MD,M,I,BROOKSVILLE,346018925,FL,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,146,44,146,69.94,0,80,0,55.95
1285639377,UPPAL,MD,M,I,RENO,895034723,NV,US,Orthopedic Surgery,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,31,30,31,136.96,0,264,0,109.57
1023080223,PFLUGHOFT,PA,M,I,NORMAN,730721810,OK,US,Physician Assistant,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,102,77,102,110.08,0,175,0,70.69
1558417485,MORALES,PA,F,I,SAN JUAN,785893720,TX,US,Physician Assistant,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,99,71,99,56.88,0,108.28,9.85,40.78
1558376368,MALIAKKAL,MD,M,I,BURR RIDGE,605275541,IL,US,Internal Medicine,Y,O,G0180,"Physician certification for medicare-covered home health  services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial impl",N,119,104,119,54.55,3.64,109.57,35.14,43.64
1750369476,MARKIDES,MD,F,I,PASADENA,775041202,TX,US,Emergency Medicine,Y,F,99283,"Emergency department visit, moderately severe problem",N,16,16,16,60.42,0,468,22,47.27
1801885389,TAGUBA-MADRID,MD,F,I,FREDERICKSBURG,224014467,VA,US,Endocrinology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,104,52,104,67.9,0,145.17,9,52.28
1740391432,GUERIN,MD,M,I,FALMOUTH,25402533,MA,US,Cardiology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,"1,404",818,"1,404",107.19,0,259.67,8.84,78.4
1477502508,PERUSSE,MD,M,I,FREDERICKSBURG,224014453,VA,US,Diagnostic Radiology,Y,F,73510,X-ray of hip 2 or more views,N,53,52,53,10.89,0,51,0,8.55
1568480887,HINDMAN,MD,M,I,NEW BRAUNFELS,781306114,TX,US,Family Practice,Y,O,81003,Automated urinalysis test,N,83,61,83,3.18,0.01,3.18,0.01,3.18
1407854037,BRUBAKER,MD,M,I,MAYWOOD,601533328,IL,US,Otolaryngology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,68,68,68,112.5,4.35,176.63,7.6,53.01
1184669566,TOBIN,MD,M,I,ESSEX,64261512,CT,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,985,351,985,74.91,0,112.52,4.89,48.14
1538114699,WHEELER,D.O.,M,I,LUBBOCK,794072520,TX,US,Diagnostic Radiology,Y,F,73030,"X-ray of shoulder, minimum of 2 views",N,123,102,118,9.59,1.2,24.97,3.12,6.75
1386665271,BREBNER,P.A.,F,I,GLEN BURNIE,210615803,MD,US,Physician Assistant,Y,F,99285,"Emergency department visit, problem with significant threat to life or function",N,222,217,222,150.03,0,869.3,17.7,116.92
1699776633,INSERRA,MD,F,I,PITTSBURGH,152202740,PA,US,Dermatology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,54,48,54,99.25,0,222,0,68.04
1710989041,LO RUSSO,MD,M,I,FAIRFAX,220331715,VA,US,Pulmonary Disease,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,789,412,789,116.94,0,196,0,86.7
1821144965,HUTSON,MPT,F,I,STATESVILLE,286774183,NC,US,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,65,61,65,69.1,0,128.13,58.68,53.25
1154388296,SVERCHEK,MD,M,I,BAKERSFIELD,933064018,CA,US,Emergency Medicine,Y,F,99283,"Emergency department visit, moderately severe problem",N,61,56,61,60.75,0,263.1,21.53,42.25
1508801374,BOTELHO,MD,M,I,ROCHESTER,146181026,NY,US,Family Practice,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,110,104,110,99.63,0,401.65,38.52,73.49
1396849915,MCDONNELL,MD,M,I,ORMOND BEACH,321748181,FL,US,Family Practice,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,11,11,11,199.1,0,272,0,159.28
1659386225,HUMPHREYS,OD,M,I,SPARKS,894346734,NV,US,Optometry,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,12,12,12,115.75,9.09,115.75,9.09,79.27
1235120510,GUTIERREZ,MD,M,I,SAN JUAN,918,PR,US,Cardiology,Y,O,93306,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",N,37,36,37,156.4,0,194.15,0,118.82
1306903265,SHAH,MD,M,I,SUGAR LAND,774783389,TX,US,Internal Medicine,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,371,91,233,34.94,0.64,80,0,27.95
1891797379,VOHRA,MD,M,I,CHICAGO,606313745,IL,US,Cardiology,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,122,94,122,144.23,0,155,0,107.97
1205869948,SANJAY,MD,F,I,RIDLEY PARK,190782035,PA,US,Hematology/Oncology,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,103,66,103,147.61,0,170,0,112.6
1790737096,SHAH,MD,M,I,TUCSON,857452623,AZ,US,Diagnostic Radiology,Y,F,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,18,18,18,34.53,0,102.5,4.03,34.53
1760625727,BLABER,MD,M,I,PORT JEFFERSON,117772119,NY,US,Emergency Medicine,Y,F,99285,"Emergency department visit, problem with significant threat to life or function",N,91,91,91,185.05,0,809.12,144.21,148.04
1073835476,BATERIWALA,MD,M,I,WARREN,480932678,MI,US,Internal Medicine,Y,O,G0180,"Physician certification for medicare-covered home health  services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial impl",N,161,154,161,54.51,0.13,87.24,9.19,43.34
1649442716,DUBROCK,MD,F,I,BOSTON,22155400,MA,US,Internal Medicine,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,16,13,16,104.32,0,312,0,83.46
1528120425,HULL,OD,M,I,OKMULGEE,74447,OK,US,Optometry,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,16,13,16,38.61,0,45,0,22.44
1497745228,LAFONT,MD,M,I,NEW HARTFORD,134131001,NY,US,Internal Medicine,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,76,72,76,17.81,0,65,0,12.82
1326128141,PITZL,MD,M,I,MINNEAPOLIS,554214379,MN,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,54,45,54,136.62,4.46,280,0,100.85
1356341424,BUSSEY,MD,M,I,WOODSTOWN,80981025,NJ,US,Family Practice,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,12,12,12,148.09,0,158,0,116
1679643639,AKULA,MD,M,I,NEW ORLEANS,701153628,LA,US,Infectious Disease,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,"3,954",245,"2,745",69.02,2.53,119.85,4.75,55.18
1457346652,ATTIOGBE,MD,M,I,LAS CRUCES,880119127,NM,US,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,133,80,133,67.11,0.12,260,0,53.43
1447254875,KINNEY,MD,M,I,BROOKFIELD,53005,WI,US,Plastic and Reconstructive Surgery,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,18,18,18,69.88,0,199,0,55.9
1063438810,STEVENS-COHEN,MD,F,I,OCEANSIDE,115721551,NY,US,Cardiology,Y,F,99221,"Initial hospital inpatient care, typically 30 minutes per day",N,34,33,34,110.67,0,265,0,88.54
1770545485,RICH,MD,M,I,SALT LAKE CITY,841320006,UT,US,Nephrology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,105,67,105,74.76,0.02,175.16,44.66,54.29
1700832664,WASSERMAN,MD,M,I,DELRAY BEACH,334846540,FL,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,637,637,637,25.42,0,34.98,0.28,25.42
1891779252,THERIOT,MD,F,I,NEWNAN,302631209,GA,US,Family Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,530,207,530,3,0,16.41,8.66,3
1780684506,KOVACS,MD,M,I,EDISON,88172841,NJ,US,Cardiology,Y,F,93306,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",N,145,144,145,70.23,0,126.81,58.83,55.57
1063467264,ZAVELO,MD,M,I,NEW BERN,285625201,NC,US,Internal Medicine,Y,O,85610,"Blood test, clotting time",N,292,20,292,5.56,0,20,0,5.56
1417926551,BESHANY,MD,M,I,COLORADO SPRINGS,80907,CO,US,Internal Medicine,Y,F,99238,"Hospital discharge day management, 30 minutes or less",N,34,34,34,67.77,0,240.29,41.7,54.62
1679531115,AGUILAR,MD,M,I,JACKSONVILLE BEACH,32250,FL,US,Internal Medicine,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,92,79,92,18.84,0,35,0,13.6
1033293477,NORWOOD,MD,M,I,STOCKTON,952092839,CA,US,Internal Medicine,Y,F,99220,Hospital observation care typically 70 minutes,N,19,18,19,191.82,0,352,0,153.46
1346227337,RASSIAS,MD,M,I,ALBANY,12208,NY,US,Thoracic Surgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,190,99,190,66.51,1.4,100,0,48.12
1649282765,STERN,MD,M,I,ESCONDIDO,920253418,CA,US,Neurosurgery,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,28,14,28,97.12,0,358.93,80.24,77.7
1689665465,POLIDORI,MD,M,I,ROYAL OAK,480736770,MI,US,Gastroenterology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,208,156,208,109.19,0,125.77,2.66,79.52
1407803133,PASTAN,MD,M,I,STONEHAM,21801702,MA,US,Rheumatology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,30,29,30,110.44,0,250.83,4.49,85.14
1821093584,LEE,MD,M,I,PARADISE,959693500,CA,US,Family Practice,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,109,25,29,1.69,0.02,10,0,1.28
1154306819,ORENSTEIN,MD,M,I,DURHAM,277042150,NC,US,Physical Medicine and Rehabilitation,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,130,122,130,128.12,0,298.25,0,99.35
1144474404,MACKEY,O.D.,F,I,CENTER,759353672,TX,US,Optometry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,60,51,60,66.92,0,70.08,0.64,49.83
1689666570,SELL,MD,M,I,PHOENIX,850205505,AZ,US,Ophthalmology,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,82,78,82,69.63,0.37,72.08,15.56,51.64
1295831907,SNYDER,MD,M,I,CONCORD,33013556,NH,US,Anesthesiology,Y,F,810,Anesthesia for procedure on small bowel using an endoscope,N,37,36,37,83.49,12.06,380.21,53.69,66.8
1972560738,CHAMBERS,MD,M,I,MYRTLE BEACH,295796706,SC,US,Orthopedic Surgery,Y,O,73030,"X-ray of shoulder, minimum of 2 views",N,240,142,229,27.65,4.61,94.23,11.41,20.21
1740464783,DEITCHLER,NP,M,I,MERIDIAN,836421026,ID,US,Nurse Practitioner,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,18,15,18,63.89,9.94,63.89,9.94,48.65
1326044124,FOLEY,MD,M,I,NORWICH,63602160,CT,US,Cardiology,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,33,22,33,104.67,0,210,0,74.83
1073544284,KUCHIPUDI,MD,M,I,SOMERSET,88731975,NJ,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,450,106,442,78.37,1.6,109.45,7.71,58.38
1548396047,MOULTON,MD,F,I,FORT MYERS,339124450,FL,US,Internal Medicine,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,136,41,136,25.42,0,47,0,19.33
1306037601,SATYAVOLU,MD,F,I,GREENBRAE,949041702,CA,US,Internal Medicine,Y,F,99231,"Subsequent hospital inpatient care, typically 15 minutes per day",N,22,13,22,41.13,0,82,0,32.9
1699740365,WILSON,MD,M,I,CARROLLTON,301173818,GA,US,Diagnostic Radiology,Y,F,93880,Ultrasound scanning of head and neck vessel blood flow (outside the brain),N,134,132,134,28.72,0,205,0,21.61
1104848902,HENRY,MD,M,I,CHARLOTTESVILLE,229037060,VA,US,Diagnostic Radiology,Y,O,73030,"X-ray of shoulder, minimum of 2 views",N,274,209,244,20.9,1.84,567.71,154.8,14.93
1407844210,ALEXANDER,DPM,M,I,OAK PARK,603042807,IL,US,Podiatry,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,79,65,79,45.77,0,90,0,29.98
1497742225,BAEZ-ESCUDERO,MD,M,I,WESTON,333313609,FL,US,Cardiac Electrophysiology,Y,O,99205,"New patient office or other outpatient visit, typically 60 minutes",N,35,35,35,212.69,0,467,0,166
1841463130,SCHOCHET,MD,M,I,FORT LAUDERDALE,333087711,FL,US,Colorectal Surgery (formerly proctology),Y,F,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,11,11,11,26.64,0,31,0,19.37
1851399802,DUFFY,DO,M,I,SAN DIEGO,921013251,CA,US,Internal Medicine,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,91,91,91,14.05,0,23.02,0.21,14.05
1417988957,HIRSCH,MD,M,I,OKLAHOMA CITY,731027502,OK,US,Family Practice,Y,O,85025,"Complete blood cell count (red cells, white blood cell, platelets), automated test",N,25,21,25,11.02,0,21.88,0,9.55
1528125713,SILBERSTEIN,MD,F,I,PORT CHESTER,105732805,NY,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,168,166,167,28.42,0.03,28.88,0.85,28.42
1548240237,MASTERNICK,DO,M,I,CLAWSON,48017,MI,US,Family Practice,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,47,46,47,19.83,0,40.85,1.88,12.76
1336136324,WHITEHEAD,MD,M,I,EVANSVILLE,477101782,IN,US,Diagnostic Radiology,Y,F,72170,"X-ray of pelvis, 1 or 2 views",N,17,15,16,8.61,0,31,0,6.48
1225024482,DUNAWAY,D.O.,M,I,CLARKSVILLE,728304432,AR,US,Family Practice,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,34,34,34,65.01,2.43,74.12,2.84,65.01
1215978374,WESSINGER,MD,M,I,SIMPSONVILLE,296813247,SC,US,Orthopedic Surgery,Y,O,72100,"X-ray of lower and sacral spine, 2 or 3 views",N,77,75,77,34.5,0,113,0,26.34
1396790317,CALO,DO,F,I,OKEMOS,488643553,MI,US,Dermatology,Y,F,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,16,12,16,26.83,0,51.38,0.99,20.12
